Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
VNM,Any Gender,Finance,Any Age Range,Senior,Any Company Size,38000
VNM,Any Gender,Finance,Any Age Range,Senior,"10,001+ employees",13000
VNM,Any Gender,Finance,Any Age Range,Senior,"5001-10,000 employees",2500
VNM,Any Gender,Finance,Any Age Range,Senior,1001-5000 employees,5300
VNM,Any Gender,Finance,Any Age Range,Senior,501-1000 employees,2200
VNM,Any Gender,Finance,Any Age Range,Senior,201-500 employees,1600
VNM,Any Gender,Finance,Any Age Range,Senior,51-200 employees,3000
VNM,Any Gender,Finance,Any Age Range,Senior,11-50 employees,2100
VNM,Any Gender,Finance,Any Age Range,Senior,2-10 employees,1000
VNM,Any Gender,Finance,Any Age Range,Senior,Myself Only,0
VNM,Any Gender,Finance,Any Age Range,Entry,Any Company Size,41000
VNM,Any Gender,Finance,Any Age Range,Entry,"10,001+ employees",14000
VNM,Any Gender,Finance,Any Age Range,Entry,"5001-10,000 employees",2600
VNM,Any Gender,Finance,Any Age Range,Entry,1001-5000 employees,4400
VNM,Any Gender,Finance,Any Age Range,Entry,501-1000 employees,1900
VNM,Any Gender,Finance,Any Age Range,Entry,201-500 employees,1600
VNM,Any Gender,Finance,Any Age Range,Entry,51-200 employees,2700
VNM,Any Gender,Finance,Any Age Range,Entry,11-50 employees,2200
VNM,Any Gender,Finance,Any Age Range,Entry,2-10 employees,1400
VNM,Any Gender,Finance,Any Age Range,Entry,Myself Only,0
VNM,Any Gender,Finance,Any Age Range,Training,Any Company Size,3900
VNM,Any Gender,Finance,Any Age Range,Training,"10,001+ employees",820
VNM,Any Gender,Finance,Any Age Range,Training,"5001-10,000 employees",0
VNM,Any Gender,Finance,Any Age Range,Training,1001-5000 employees,360
VNM,Any Gender,Finance,Any Age Range,Training,501-1000 employees,0
VNM,Any Gender,Finance,Any Age Range,Training,201-500 employees,0
VNM,Any Gender,Finance,Any Age Range,Training,51-200 employees,0
VNM,Any Gender,Finance,Any Age Range,Training,11-50 employees,0
VNM,Any Gender,Finance,Any Age Range,Training,2-10 employees,0
VNM,Any Gender,Finance,Any Age Range,Training,Myself Only,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,Any Company Size,730
VNM,Any Gender,Finance,Any Age Range,Unpaid,"10,001+ employees",0
VNM,Any Gender,Finance,Any Age Range,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Finance,Any Age Range,Unpaid,1001-5000 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,501-1000 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,201-500 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,51-200 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,11-50 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,2-10 employees,0
VNM,Any Gender,Finance,Any Age Range,Unpaid,Myself Only,0
VNM,Any Gender,Finance,55+,Any Job Seniority,Any Company Size,460
VNM,Any Gender,Finance,55+,Any Job Seniority,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Any Job Seniority,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Any Job Seniority,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,501-1000 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,201-500 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,51-200 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,11-50 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,2-10 employees,0
VNM,Any Gender,Finance,55+,Any Job Seniority,Myself Only,0
VNM,Any Gender,Finance,55+,Owner,Any Company Size,0
VNM,Any Gender,Finance,55+,Owner,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Owner,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Owner,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Owner,501-1000 employees,0
VNM,Any Gender,Finance,55+,Owner,201-500 employees,0
VNM,Any Gender,Finance,55+,Owner,51-200 employees,0
VNM,Any Gender,Finance,55+,Owner,11-50 employees,0
VNM,Any Gender,Finance,55+,Owner,2-10 employees,0
VNM,Any Gender,Finance,55+,Owner,Myself Only,0
VNM,Any Gender,Finance,55+,Partner,Any Company Size,0
VNM,Any Gender,Finance,55+,Partner,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Partner,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Partner,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Partner,501-1000 employees,0
VNM,Any Gender,Finance,55+,Partner,201-500 employees,0
VNM,Any Gender,Finance,55+,Partner,51-200 employees,0
VNM,Any Gender,Finance,55+,Partner,11-50 employees,0
VNM,Any Gender,Finance,55+,Partner,2-10 employees,0
VNM,Any Gender,Finance,55+,Partner,Myself Only,0
VNM,Any Gender,Finance,55+,CXO,Any Company Size,0
VNM,Any Gender,Finance,55+,CXO,"10,001+ employees",0
VNM,Any Gender,Finance,55+,CXO,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,CXO,1001-5000 employees,0
VNM,Any Gender,Finance,55+,CXO,501-1000 employees,0
VNM,Any Gender,Finance,55+,CXO,201-500 employees,0
VNM,Any Gender,Finance,55+,CXO,51-200 employees,0
VNM,Any Gender,Finance,55+,CXO,11-50 employees,0
VNM,Any Gender,Finance,55+,CXO,2-10 employees,0
VNM,Any Gender,Finance,55+,CXO,Myself Only,0
VNM,Any Gender,Finance,55+,VP,Any Company Size,0
VNM,Any Gender,Finance,55+,VP,"10,001+ employees",0
VNM,Any Gender,Finance,55+,VP,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,VP,1001-5000 employees,0
VNM,Any Gender,Finance,55+,VP,501-1000 employees,0
VNM,Any Gender,Finance,55+,VP,201-500 employees,0
VNM,Any Gender,Finance,55+,VP,51-200 employees,0
VNM,Any Gender,Finance,55+,VP,11-50 employees,0
VNM,Any Gender,Finance,55+,VP,2-10 employees,0
VNM,Any Gender,Finance,55+,VP,Myself Only,0
VNM,Any Gender,Finance,55+,Director,Any Company Size,0
VNM,Any Gender,Finance,55+,Director,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Director,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Director,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Director,501-1000 employees,0
VNM,Any Gender,Finance,55+,Director,201-500 employees,0
VNM,Any Gender,Finance,55+,Director,51-200 employees,0
VNM,Any Gender,Finance,55+,Director,11-50 employees,0
VNM,Any Gender,Finance,55+,Director,2-10 employees,0
VNM,Any Gender,Finance,55+,Director,Myself Only,0
VNM,Any Gender,Finance,55+,Manager,Any Company Size,0
VNM,Any Gender,Finance,55+,Manager,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Manager,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Manager,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Manager,501-1000 employees,0
VNM,Any Gender,Finance,55+,Manager,201-500 employees,0
VNM,Any Gender,Finance,55+,Manager,51-200 employees,0
VNM,Any Gender,Finance,55+,Manager,11-50 employees,0
VNM,Any Gender,Finance,55+,Manager,2-10 employees,0
VNM,Any Gender,Finance,55+,Manager,Myself Only,0
VNM,Any Gender,Finance,55+,Senior,Any Company Size,0
VNM,Any Gender,Finance,55+,Senior,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Senior,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Senior,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Senior,501-1000 employees,0
VNM,Any Gender,Finance,55+,Senior,201-500 employees,0
VNM,Any Gender,Finance,55+,Senior,51-200 employees,0
VNM,Any Gender,Finance,55+,Senior,11-50 employees,0
VNM,Any Gender,Finance,55+,Senior,2-10 employees,0
VNM,Any Gender,Finance,55+,Senior,Myself Only,0
VNM,Any Gender,Finance,55+,Entry,Any Company Size,0
VNM,Any Gender,Finance,55+,Entry,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Entry,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Entry,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Entry,501-1000 employees,0
VNM,Any Gender,Finance,55+,Entry,201-500 employees,0
VNM,Any Gender,Finance,55+,Entry,51-200 employees,0
VNM,Any Gender,Finance,55+,Entry,11-50 employees,0
VNM,Any Gender,Finance,55+,Entry,2-10 employees,0
VNM,Any Gender,Finance,55+,Entry,Myself Only,0
VNM,Any Gender,Finance,55+,Training,Any Company Size,0
VNM,Any Gender,Finance,55+,Training,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Training,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Training,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Training,501-1000 employees,0
VNM,Any Gender,Finance,55+,Training,201-500 employees,0
VNM,Any Gender,Finance,55+,Training,51-200 employees,0
VNM,Any Gender,Finance,55+,Training,11-50 employees,0
VNM,Any Gender,Finance,55+,Training,2-10 employees,0
VNM,Any Gender,Finance,55+,Training,Myself Only,0
VNM,Any Gender,Finance,55+,Unpaid,Any Company Size,0
VNM,Any Gender,Finance,55+,Unpaid,"10,001+ employees",0
VNM,Any Gender,Finance,55+,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Finance,55+,Unpaid,1001-5000 employees,0
VNM,Any Gender,Finance,55+,Unpaid,501-1000 employees,0
VNM,Any Gender,Finance,55+,Unpaid,201-500 employees,0
VNM,Any Gender,Finance,55+,Unpaid,51-200 employees,0
VNM,Any Gender,Finance,55+,Unpaid,11-50 employees,0
VNM,Any Gender,Finance,55+,Unpaid,2-10 employees,0
VNM,Any Gender,Finance,55+,Unpaid,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,Any Company Size,18000
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,"10,001+ employees",5000
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,"5001-10,000 employees",1200
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,1001-5000 employees,2200
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,501-1000 employees,880
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,201-500 employees,750
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,51-200 employees,1500
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,11-50 employees,1100
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,2-10 employees,590
VNM,Any Gender,Finance,35 to 54,Any Job Seniority,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Owner,Any Company Size,640
VNM,Any Gender,Finance,35 to 54,Owner,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,Owner,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Owner,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Owner,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Partner,Any Company Size,330
VNM,Any Gender,Finance,35 to 54,Partner,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,Partner,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Partner,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Partner,Myself Only,0
VNM,Any Gender,Finance,35 to 54,CXO,Any Company Size,1200
VNM,Any Gender,Finance,35 to 54,CXO,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,CXO,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,CXO,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,CXO,Myself Only,0
VNM,Any Gender,Finance,35 to 54,VP,Any Company Size,700
VNM,Any Gender,Finance,35 to 54,VP,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,VP,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,VP,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,VP,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,VP,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,VP,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,VP,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,VP,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,VP,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Director,Any Company Size,3400
VNM,Any Gender,Finance,35 to 54,Director,"10,001+ employees",1000
VNM,Any Gender,Finance,35 to 54,Director,"5001-10,000 employees",310
VNM,Any Gender,Finance,35 to 54,Director,1001-5000 employees,560
VNM,Any Gender,Finance,35 to 54,Director,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Director,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Director,51-200 employees,380
VNM,Any Gender,Finance,35 to 54,Director,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Director,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Director,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Manager,Any Company Size,2800
VNM,Any Gender,Finance,35 to 54,Manager,"10,001+ employees",1000
VNM,Any Gender,Finance,35 to 54,Manager,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Manager,1001-5000 employees,440
VNM,Any Gender,Finance,35 to 54,Manager,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Manager,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Manager,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Manager,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Manager,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Manager,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Senior,Any Company Size,4900
VNM,Any Gender,Finance,35 to 54,Senior,"10,001+ employees",1600
VNM,Any Gender,Finance,35 to 54,Senior,"5001-10,000 employees",370
VNM,Any Gender,Finance,35 to 54,Senior,1001-5000 employees,670
VNM,Any Gender,Finance,35 to 54,Senior,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Senior,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Senior,51-200 employees,440
VNM,Any Gender,Finance,35 to 54,Senior,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Senior,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Senior,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Entry,Any Company Size,2700
VNM,Any Gender,Finance,35 to 54,Entry,"10,001+ employees",880
VNM,Any Gender,Finance,35 to 54,Entry,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Entry,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Entry,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Training,Any Company Size,0
VNM,Any Gender,Finance,35 to 54,Training,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,Training,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Training,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,Training,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Training,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Training,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Training,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Training,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Training,Myself Only,0
VNM,Any Gender,Finance,35 to 54,Unpaid,Any Company Size,0
VNM,Any Gender,Finance,35 to 54,Unpaid,"10,001+ employees",0
VNM,Any Gender,Finance,35 to 54,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Finance,35 to 54,Unpaid,1001-5000 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,501-1000 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,201-500 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,51-200 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,11-50 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,2-10 employees,0
VNM,Any Gender,Finance,35 to 54,Unpaid,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,Any Company Size,98000
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,"10,001+ employees",24000
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,"5001-10,000 employees",5200
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,1001-5000 employees,10000
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,501-1000 employees,4100
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,201-500 employees,3400
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,51-200 employees,5700
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,11-50 employees,4600
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,2-10 employees,3100
VNM,Any Gender,Finance,25 to 34,Any Job Seniority,Myself Only,320
VNM,Any Gender,Finance,25 to 34,Owner,Any Company Size,1700
VNM,Any Gender,Finance,25 to 34,Owner,"10,001+ employees",0
VNM,Any Gender,Finance,25 to 34,Owner,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,Owner,1001-5000 employees,540
VNM,Any Gender,Finance,25 to 34,Owner,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,Owner,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,Owner,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,Owner,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,Owner,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Owner,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Partner,Any Company Size,400
VNM,Any Gender,Finance,25 to 34,Partner,"10,001+ employees",0
VNM,Any Gender,Finance,25 to 34,Partner,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,Partner,1001-5000 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Partner,Myself Only,0
VNM,Any Gender,Finance,25 to 34,CXO,Any Company Size,1500
VNM,Any Gender,Finance,25 to 34,CXO,"10,001+ employees",0
VNM,Any Gender,Finance,25 to 34,CXO,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,CXO,1001-5000 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,CXO,Myself Only,0
VNM,Any Gender,Finance,25 to 34,VP,Any Company Size,1200
VNM,Any Gender,Finance,25 to 34,VP,"10,001+ employees",340
VNM,Any Gender,Finance,25 to 34,VP,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,VP,1001-5000 employees,0
VNM,Any Gender,Finance,25 to 34,VP,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,VP,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,VP,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,VP,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,VP,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,VP,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Director,Any Company Size,3900
VNM,Any Gender,Finance,25 to 34,Director,"10,001+ employees",1100
VNM,Any Gender,Finance,25 to 34,Director,"5001-10,000 employees",310
VNM,Any Gender,Finance,25 to 34,Director,1001-5000 employees,550
VNM,Any Gender,Finance,25 to 34,Director,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,Director,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,Director,51-200 employees,320
VNM,Any Gender,Finance,25 to 34,Director,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,Director,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Director,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Manager,Any Company Size,7000
VNM,Any Gender,Finance,25 to 34,Manager,"10,001+ employees",2200
VNM,Any Gender,Finance,25 to 34,Manager,"5001-10,000 employees",470
VNM,Any Gender,Finance,25 to 34,Manager,1001-5000 employees,1100
VNM,Any Gender,Finance,25 to 34,Manager,501-1000 employees,400
VNM,Any Gender,Finance,25 to 34,Manager,201-500 employees,310
VNM,Any Gender,Finance,25 to 34,Manager,51-200 employees,450
VNM,Any Gender,Finance,25 to 34,Manager,11-50 employees,390
VNM,Any Gender,Finance,25 to 34,Manager,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Manager,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Senior,Any Company Size,25000
VNM,Any Gender,Finance,25 to 34,Senior,"10,001+ employees",8200
VNM,Any Gender,Finance,25 to 34,Senior,"5001-10,000 employees",1700
VNM,Any Gender,Finance,25 to 34,Senior,1001-5000 employees,3500
VNM,Any Gender,Finance,25 to 34,Senior,501-1000 employees,1500
VNM,Any Gender,Finance,25 to 34,Senior,201-500 employees,1000
VNM,Any Gender,Finance,25 to 34,Senior,51-200 employees,2100
VNM,Any Gender,Finance,25 to 34,Senior,11-50 employees,1300
VNM,Any Gender,Finance,25 to 34,Senior,2-10 employees,680
VNM,Any Gender,Finance,25 to 34,Senior,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Entry,Any Company Size,27000
VNM,Any Gender,Finance,25 to 34,Entry,"10,001+ employees",8500
VNM,Any Gender,Finance,25 to 34,Entry,"5001-10,000 employees",1700
VNM,Any Gender,Finance,25 to 34,Entry,1001-5000 employees,2900
VNM,Any Gender,Finance,25 to 34,Entry,501-1000 employees,1300
VNM,Any Gender,Finance,25 to 34,Entry,201-500 employees,1000
VNM,Any Gender,Finance,25 to 34,Entry,51-200 employees,1800
VNM,Any Gender,Finance,25 to 34,Entry,11-50 employees,1400
VNM,Any Gender,Finance,25 to 34,Entry,2-10 employees,920
VNM,Any Gender,Finance,25 to 34,Entry,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Training,Any Company Size,2200
VNM,Any Gender,Finance,25 to 34,Training,"10,001+ employees",400
VNM,Any Gender,Finance,25 to 34,Training,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,Training,1001-5000 employees,0
VNM,Any Gender,Finance,25 to 34,Training,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,Training,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,Training,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,Training,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,Training,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Training,Myself Only,0
VNM,Any Gender,Finance,25 to 34,Unpaid,Any Company Size,470
VNM,Any Gender,Finance,25 to 34,Unpaid,"10,001+ employees",0
VNM,Any Gender,Finance,25 to 34,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Finance,25 to 34,Unpaid,1001-5000 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,501-1000 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,201-500 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,51-200 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,11-50 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,2-10 employees,0
VNM,Any Gender,Finance,25 to 34,Unpaid,Myself Only,0
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,Any Company Size,32000
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,"10,001+ employees",9600
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,"5001-10,000 employees",1400
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,1001-5000 employees,3000
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,501-1000 employees,1200
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,201-500 employees,970
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,51-200 employees,1500
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,11-50 employees,1600
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,2-10 employees,920
VNM,Any Gender,Finance,18 to 24,Any Job Seniority,Myself Only,0
VNM,Any Gender,Finance,18 to 24,Owner,Any Company Size,640
VNM,Any Gender,Finance,18 to 24,Owner,"10,001+ employees",350
VNM,Any Gender,Finance,18 to 24,Owner,"5001-10,000 employees",0
VNM,Any Gender,Finance,18 to 24,Owner,1001-5000 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,501-1000 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,201-500 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,51-200 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,11-50 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,2-10 employees,0
VNM,Any Gender,Finance,18 to 24,Owner,Myself Only,0
VNM,Any Gender,Finance,18 to 24,Partner,Any Company Size,0
VNM,Any Gender,Finance,18 to 24,Partner,"10,001+ employees",0
VNM,Any Gender,Finance,18 to 24,Partner,"5001-10,000 employees",0
VNM,Any Gender,Finance,18 to 24,Partner,1001-5000 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,501-1000 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,201-500 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,51-200 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,11-50 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,2-10 employees,0
VNM,Any Gender,Finance,18 to 24,Partner,Myself Only,0
VNM,Any Gender,Finance,18 to 24,CXO,Any Company Size,460
VNM,Any Gender,Finance,18 to 24,CXO,"10,001+ employees",0
VNM,Any Gender,Finance,18 to 24,CXO,"5001-10,000 employees",0
VNM,Any Gender,Finance,18 to 24,CXO,1001-5000 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,501-1000 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,201-500 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,51-200 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,11-50 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,2-10 employees,0
VNM,Any Gender,Finance,18 to 24,CXO,Myself Only,0
VNM,Any Gender,Finance,18 to 24,VP,Any Company Size,360
VNM,Any Gender,Finance,18 to 24,VP,"10,001+ employees",0
VNM,Any Gender,Finance,18 to 24,VP,"5001-10,000 employees",0
VNM,Any Gender,Finance,18 to 24,VP,1001-5000 employees,0
